Date,Close,Volume
2023-10-09,973.5909423828125,22298500
2023-10-10,1213.2440185546875,13625200
2023-10-11,1512.810546875,38431400
2023-10-12,1887.2685546875,219262300
2023-10-13,2356.589111328125,39504100
2023-10-16,2746.025634765625,227720100
2023-10-17,3425.04296875,215604400
2023-10-18,3784.5224609375,311694400
2023-10-19,4044.146728515625,150507700
2023-10-20,4024.17578125,85371300
2023-10-23,3734.5947265625,98962200
2023-10-24,3794.508056640625,40442200
2023-10-25,3814.479248046875,20457100
2023-10-26,3794.508056640625,23103000
2023-10-27,4054.132568359375,76315200
2023-10-30,4493.49609375,136498000
2023-10-31,4573.38037109375,55551200
2023-11-01,4283.7998046875,50048400
2023-11-02,4044.146728515625,63249300
2023-11-03,4134.01708984375,54842200
2023-11-06,4283.7998046875,28846900
2023-11-07,4383.6552734375,26103200
2023-11-08,4393.640625,18257700
2023-11-09,5217.44873046875,111849600
2023-11-10,5217.44873046875,0
2023-11-13,5292.34033203125,69960400
2023-11-14,5367.23193359375,24752100
2023-11-15,5716.72607421875,63375300
2023-11-16,5691.76220703125,61909300
2023-11-17,6315.85888671875,60573100
2023-11-20,6790.17236328125,53008600
2023-11-21,6265.93115234375,80088500
2023-11-22,5641.83447265625,92961400
2023-11-23,6420.1572265625,52116100
2023-11-24,6070.42138671875,35573700
2023-11-27,5945.51513671875,27030500
2023-11-28,6245.2890625,38044200
2023-11-29,6120.3837890625,28091900
2023-11-30,6869.818359375,76689700
2023-12-01,6794.87451171875,49599600
2023-12-04,6844.8369140625,39120700
2023-12-05,6819.85595703125,50994200
2023-12-06,7194.5732421875,68123500
2023-12-07,7744.15869140625,57980500
2023-12-08,8043.9326171875,50224300
2023-12-11,7594.271484375,38133500
2023-12-12,7644.23388671875,34839300
2023-12-13,7569.29052734375,14746100
2023-12-14,7194.5732421875,29173400
2023-12-15,7394.42236328125,22179600
2023-12-18,7144.61083984375,18483400
2023-12-19,7319.47900390625,21446100
2023-12-20,7444.38427734375,21918400
2023-12-21,7494.3466796875,11927700
2023-12-22,7494.3466796875,17981700
2023-12-27,7644.23388671875,42756100
2023-12-28,7669.21533203125,13392200
2023-12-29,7469.36572265625,15244000
2024-01-02,7594.271484375,15012300
2024-01-03,7569.29052734375,6026800
2024-01-04,7519.328125,12323500
2024-01-05,7219.55419921875,16149400
2024-01-08,6744.912109375,30456400
2024-01-09,5395.9296875,100068600
2024-01-10,5670.72265625,78655800
2024-01-11,5046.193359375,53028700
2024-01-12,4696.45751953125,63660700
2024-01-15,4696.45751953125,0
2024-01-16,4876.32177734375,70243100
2024-01-17,5146.1181640625,65649600
2024-01-18,5645.74169921875,87583400
2024-01-19,5096.15576171875,49338700
2024-01-22,5345.96728515625,43627700
2024-01-23,5570.7978515625,36952000
2024-01-24,5370.94873046875,40178600
2024-01-25,5246.04296875,11912100
2024-01-26,5196.08056640625,22713900
2024-01-29,5021.21240234375,13895700
2024-01-30,5021.21240234375,22206200
2024-01-31,4946.26904296875,11020900
2024-02-01,4846.3447265625,11197200
2024-02-02,4946.26904296875,12812900
2024-02-05,5171.099609375,21611100
2024-02-06,5595.779296875,37579800
2024-02-07,5395.9296875,40129200
2024-02-12,5445.89208984375,13497400
2024-02-13,5046.193359375,24426100
2024-02-15,5121.13720703125,8823500
2024-02-16,5470.873046875,23471500
2024-02-19,5495.8544921875,16293100
2024-02-20,5495.8544921875,7225000
2024-02-21,5495.8544921875,8289400
2024-02-22,5570.7978515625,9897400
2024-02-23,5495.8544921875,7899600
2024-02-26,5495.8544921875,5992200
2024-02-27,5495.8544921875,4676700
2024-02-28,5945.51513671875,32515800
2024-02-29,6045.43994140625,20983000
2024-03-01,6195.32666015625,17035800
2024-03-04,6120.3837890625,10333200
2024-03-05,5895.552734375,11693200
2024-03-06,5995.4775390625,11782200
2024-03-07,6245.2890625,15735100
2024-03-08,6120.3837890625,8847000
2024-03-13,6145.3642578125,10280200
2024-03-14,5895.552734375,15583100
2024-03-15,5545.81689453125,23637300
2024-03-18,5171.099609375,14212600
2024-03-19,5345.96728515625,6320700
2024-03-20,5395.9296875,8111400
2024-03-21,5345.96728515625,7186600
2024-03-22,5345.96728515625,3728700
2024-03-25,5345.96728515625,0
2024-03-26,5345.96728515625,0
2024-03-27,5445.89208984375,5390600
2024-03-28,5370.94873046875,2727000
2024-04-01,5395.9296875,4999900
2024-04-02,5720.6845703125,10248500
2024-04-03,5670.72265625,13411500
2024-04-04,5870.57177734375,6684400
2024-04-05,6919.7802734375,67105300
2024-04-16,7469.36572265625,74828100
2024-04-17,7944.0078125,65779000
2024-04-18,7919.0263671875,40979900
2024-04-19,8118.8759765625,119478400
2024-04-22,7619.2529296875,23379200
2024-04-23,7294.49755859375,14117500
2024-04-24,7968.98876953125,16627200
2024-04-25,8268.7626953125,16941200
2024-04-26,8618.4990234375,36478400
2024-04-29,9018.197265625,17974400
2024-04-30,9218.046875,24471600
2024-05-02,9867.556640625,22657200
2024-05-03,9867.556640625,0
2024-05-06,9292.990234375,13332100
2024-05-07,9867.556640625,13495400
2024-05-08,9642.7265625,12895300
2024-05-13,9442.876953125,12510700
2024-05-14,9268.009765625,11060200
2024-05-15,9967.4814453125,32641300
2024-05-16,10367.1796875,25578300
2024-05-17,10741.8974609375,33916900
2024-05-20,10966.728515625,20232700
2024-05-21,11141.595703125,17838200
2024-05-22,11241.5205078125,14429800
2024-05-27,11241.5205078125,0
2024-05-28,11241.5205078125,0
2024-05-29,10117.369140625,3269100
2024-05-30,9118.1220703125,338500
2024-05-31,8218.80078125,1072500
2024-06-03,7944.0078125,28527100
2024-06-04,8243.78125,14694300
2024-06-05,7419.4033203125,3842600
2024-06-06,6694.94970703125,3041600
2024-06-07,6047.275390625,2561500
2024-06-10,6647.0048828125,69433800
2024-06-11,7296.71240234375,29963800
2024-06-12,8021.3857421875,22866000
2024-06-13,8021.3857421875,6122700
2024-06-14,7846.46435546875,3790700
2024-06-19,8246.2841796875,6744200
2024-06-20,8446.1943359375,8628800
2024-06-21,9095.9013671875,59659500
2024-06-24,9395.7666015625,22229200
2024-06-25,9645.654296875,22310600
2024-06-26,9745.6083984375,15070700
2024-06-27,9795.5859375,9625300
